# Regex	Intensity
\bn[i1]gg[aer]+\b	3.0
\bn[i1][g9]{2}[e3][r4]+\b	3.0
\bn[i1]gg[a@4h]+\b	3.0
\bnigg[l1][e3]t\b	2.8
\bn1gg[aer]+\b	3.0
\bnigg\W*er\b	3.0
\bnigg\W*a\b	2.8
\bn[i1]g\W*g[a@4]+\b	2.8
\bch[i1][g9]{2}[a@4]+\b	2.8
\bsandn[i1]gg\w*\b	3.0
\bporch\s*monkey\b	3.0
\bporch\s*n[i1]gger\b	3.0
\bmonkey\s*n[i1]gger\b	3.0
\bgoat\s*fucker\b	3.0
\bchink\b	3.0
\bslant\s*eye\b	2.5
\bgook\b	3.0
\bzipperhead\b	3.0
\byellow\s*devil\b	2.5
\bspic\b	3.0
\bbeaner\b	3.0
\bwetback\b	3.0
\bdirty\s*(?:mexican|arab|jew|chink|spic)\b	3.0
\bwhite\s*trash\b	2.3
\bcracker\b	2.3
\bwhitey\b	2.3
\bhonkey\b	2.3
\bbluegum\b	3.0
\bmooncricket\b	3.0
\bape\s*man\b	2.8
\btar\s*baby\b	3.0
\bcoon\b	3.0
\bknuckle\s*drag(?:ger|ging)\b	2.8
\bspear\s*chucker\b	3.0
\bhalf\s*breed\b	2.3
\bmixed\s*breed\b	2.3
\bmulatto\b	2.3
\bcoal\s*burner\b	2.5
\bwhite\s*devil\b	2.5
\bpapist\b	1.8
\bkaffir\b	3.0
\bkafir\b	2.5
\bbantu\b	2.0
\bhajji\b	2.5
\bcamel\s*jockey\b	3.0
\braghead\b	3.0
\bburrhead\b	3.0
\bdothead\b	2.8
\bpaki\b	3.0
\bcurry\s*muncher\b	2.8
\bbalija\b	2.0
\bhaji\b	2.5
\babo\b	2.5
\bboong\b	3.0
\bgypo\b	2.5
\bgyppo\b	2.5
\bpolack\b	2.3
\bdago\b	2.3
\bwop\b	2.3
\bkraut\b	2.3
\bfrog\b	1.8
\bslope\b	2.5
\bchinaman\b	2.5
\bnip\b	2.3
\bflip\b	2.0
\bpinoy\b	1.8
\btowel\s*head\b	2.8
\brice\s*nigger\b	3.0
\bpig\s*nose\b	2.5
\btoad\s*eater\b	2.0
\bwhite\s*nigger\b	3.0
\bnegro\b	1.8
\bn[e3]gro\b	1.8
